Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand,filename
"https://www.thredup.com/product/women-polyester-apt-9-grey-dress-pants/55867546?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/164428623/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Grey and Gray']","83% Polyester, 15% Rayon, 2% Spandex",Size 2 ,"28.5"" Inseam, 8"" Rise, 30"" Waist",2.99,Apt. 9,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-wool-banana-republic-grey-wool-pants/58923118?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/174342515/retina.jpg,Pants,"['Dry clean only', 'Classic', 'Flared leg cut', 'Low rise waist', 'Grey and Gray']","97% Wool, 2% Polyester, 1% Other",Size 2 ,"29"" Inseam, 8"" Rise, 28"" Waist",5.99,Banana Republic,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-cotton-banana-republic-tan-casual-pants/57133464?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/158816240/retina.jpg,Pants,"['Boho', 'Boyfriend', 'Boyfriend', 'Low rise waist', 'Tan']","97% Cotton, 3% Spandex",Size 2 ,"28.5"" Inseam, 8"" Rise, 24"" Waist",5.99,Banana Republic,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-polyester-kasper-black-dress-pants/56873088?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167668755/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'High rise waist', 'Black']",100% Polyester,Size 2 ,"29"" Inseam, 12"" Rise, 30"" Waist",5.99,Kasper,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-polyester-banana-republic-factory-store-black-dress-pants/56777155?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167447889/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black and Blue']","70% Polyester, 28% Viscose, 2% Spandex",Size 2 ,"29.25"" Inseam, 7.5"" Rise, 28.5"" Waist",5.99,Banana Republic Factory Store,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-black-dress-pants/56716547?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167181506/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']","98% Cotton, 2% Spandex",Size 2 ,"28.5"" Inseam, 8.5"" Rise, 30"" Waist",5.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-black-casual-pants/56564413?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/166688825/retina.jpg,Pants,"['Flared leg cut', 'Solid', 'Low rise waist', 'Black']","75% Cotton, 25% Linen",Size 2 ,"26.5"" Inseam, 7"" Rise, 29"" Waist",5.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-polyester-talbots-black-dress-pants/56563527?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/166743081/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","48% Polyester, 47% Rayon, 5% Spandex",Size 2 ,"27"" Inseam, 8"" Rise, 28"" Waist",5.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-wool-banana-republic-grey-wool-pants/56539557?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/166616040/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Grey and Blue']","95% Wool, 5% Spandex",Size 2 ,"30"" Inseam, 8.5"" Rise, 26"" Waist",5.99,Banana Republic,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
"https://www.thredup.com/product/women-polyester-the-limited-black-dress-pants/56271065?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/165743138/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black and Blue']","67% Polyester, 29% Viscose, 4% Spandex",Size 2 ,"27"" Inseam, 8"" Rise, 29.5"" Waist",5.99,The Limited,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/pants1.csv
