Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-polyester-apt-9-black-casual-dress/67512722?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/201844841/retina.jpg,Dresses,"['Ruched detail', 'Pleats', 'Sheath', 'Scoop neckline', 'Knee length', 'Short sleeve', 'Black']","96% Polyester, 4% Spandex",Size XS ,"32"" Chest, 36"" Length",6.99,Apt. 9
"https://www.thredup.com/product/women-cotton-gap-blue-casual-dress/66721278?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/199293213/retina.jpg,Dresses,"['Shirtdress', 'Boho', 'Crew neckline', 'Paisley print', 'Knee length', 'Long sleeve', 'Blue']",100% Cotton,Size XS ,"34"" Chest, 34"" Length",6.99,Gap
"https://www.thredup.com/product/women-viscose-ann-taylor-black-casual-dress/66428743?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/198370132/retina.jpg,Dresses,"['Frayed edges', 'Fringe & frayed accents', 'A-Line silhouette', 'Crew neckline', 'Solid', 'Knee length', 'Short sleeve', 'Black']","69% Viscose, 16% Nylon, 12% Polyester, 3% Spandex",Size XS ,"32"" Chest, 32.25"" Length",6.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-old-navy-red-casual-dress/65618357?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/195937319/retina.jpg,Dresses,"['Crew neckline', 'Solid', 'Knee length', '3/4 Sleeve', 'Red']",100% Cotton,Size XS ,"30"" Chest, 33"" Length",6.99,Old Navy
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-outlet-blue-casual-dress/67863157?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/202884551/retina.jpg,Dresses,"['Pleats', 'A-Line silhouette', 'Vacation', 'Tie neck', 'Floral Print and Tropical print', 'Knee length', 'Sleeveless', 'Blue']",100% Polyester,Size XS ,"28"" Chest, 32"" Length",9.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-ann-taylor-loft-brown-casual-dress/67809180?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/202646860/retina.jpg,Dresses,"['Glitter accents', 'Shiny accents', 'Party', 'Scoop neckline', 'Solid', 'Knee length', 'Sleeveless', 'Brown']",No Fabric Content,Size XS ,"28"" Chest, 34"" Length",9.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-pima-cotton-purejill-blue-casual-dress/67740135?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/202500942/retina.jpg,Dresses,"['Sweater dress', 'Crew neckline', 'Solid', 'Knee length', 'Long sleeve', 'Blue']","57% Pima Cotton, 38% Modal, 5% Spandex",Size XS ,"36"" Chest, 31"" Length",9.99,Purejill
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-brown-casual-dress/67708873?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/190086966/retina.jpg,Dresses,"['Ruffle accents', 'Frills & ruffles', 'A-Line silhouette', 'Crew neckline', 'Animal print', 'Knee length', 'Sleeveless', 'Brown']",100% Polyester,Size 0 ,"32"" Chest, 36"" Length",9.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-polyester-old-navy-black-casual-dress/67559987?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/201917038/retina.jpg,Dresses,"['Mini silhouette', 'Crew neckline', 'Solid', 'Mini-short', 'Short sleeve', 'Black']",100% Polyester,Size XS ,"32"" Chest, 31"" Length",9.99,Old Navy
"https://www.thredup.com/product/women-polyester-old-navy-brown-casual-dress/67478028?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/201646694/retina.jpg,Dresses,"['Cut outs', 'Sweater dress', 'Scoop neckline', 'Solid', 'Knee length', 'Long sleeve', 'Brown and Burgundy']","77% Polyester, 20% Rayon, 3% Spandex",Size XS ,"38"" Chest, 33"" Length",9.99,Old Navy
