Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-cotton-ann-taylor-blue-cargo-pants/58639534?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/173480438/retina.jpg,Pants,"['Boho', 'Boyfriend', 'Cargo ', 'Solid', 'Cropped top', 'Low rise waist', 'Blue']",100% Cotton,Size 2 ,"18.5"" Inseam, 8"" Rise, 32"" Waist",3.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-banana-republic-green-khakis/58182740?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/171949837/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Green and Tan']","98% Cotton, 2% Spandex",Size 2 ,"27.75"" Inseam, 8.5"" Rise, 27"" Waist",3.99,Banana Republic
"https://www.thredup.com/product/women-polyester-calvin-klein-black-dress-pants/57177907?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/118273208/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","63% Polyester, 33% Rayon, 4% Spandex",Size 2 ,"30"" Inseam, 8"" Rise, 29"" Waist",3.99,Calvin Klein
"https://www.thredup.com/product/women-cotton-lauren-by-ralph-lauren-black-khakis/56865189?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167687262/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","98% Cotton, 2% Spandex",Size 2 ,"25.5"" Inseam, 8"" Rise, 30"" Waist",3.99,Lauren by Ralph Lauren
"https://www.thredup.com/product/women-rayon-casual-corner-annex-black-casual-pants/56506364?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/166534568/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'High rise waist', 'Black']","70% Rayon, 30% Polyester",Size S ,"26"" Inseam, 11"" Rise, 28"" Waist",3.99,Casual Corner Annex
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-black-dress-pants/55838074?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/164362913/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Super low rise waist', 'Black']","68% Rayon, 28% Nylon, 4% Spandex",Size 2 ,"24"" Inseam, 5"" Rise, 28"" Waist",3.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-wool-ann-taylor-loft-brown-wool-pants/55549477?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/163399524/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Brown and Blue']","95% Wool, 5% Lycra",Size 2 ,"24.5"" Inseam, 9"" Rise, 28"" Waist",3.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-blue-casual-pants/60728999?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/161466713/retina.jpg,Pants,"['Metal accents', 'Solid', 'Elastic waist', 'Blue']","72% Rayon, 23% Nylon, 5% Spandex",Size S ,"25"" Inseam, 9"" Rise, 30"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-polyester-lands-end-black-dress-pants/60689400?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/180081777/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Striped print', 'Low rise waist', 'Black and Blue']","53% Polyester, 43% Baumwolle, 4% Elastane",Size 2 ,"31"" Inseam, 6.5"" Rise, 28"" Waist",6.99,Lands' End
"https://www.thredup.com/product/women-viscose-linda-allard-ellen-tracy-grey-dress-pants/60570110?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/179897307/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Grey and Gray']","59% Viscose, 39% Wool, 2% Elastane",Size 2 ,"27.75"" Inseam, 9"" Rise, 26"" Waist",6.99,Linda Allard Ellen Tracy
