Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-acrylic-ann-taylor-loft-black-pullover-sweater/64826727?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193357015/retina.jpg,Tops,"['Cut outs', 'Solid', '3/4 Sleeve', 'Black']","60% Acrylic, 40% Nylon",Size XS ,"33"" Chest, 23.5"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-linen-ann-taylor-loft-brown-cardigan/64749422?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193128936/retina.jpg,Tops,"['Bow & tie', 'Dry clean only', 'V-neck', 'Solid', 'Short sleeve', 'Brown']","56% Linen, 43% Rayon, 1% Other",Size XS ,"30.5"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-acrylic-apt-9-grey-cardigan/63715595?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189954538/retina.jpg,Tops,"['Solid', 'Long sleeve', 'Grey and Gray']",100% Acrylic,Size XS ,"22"" Length",4.99,Apt. 9
"https://www.thredup.com/product/women-wool-ann-taylor-tan-wool-cardigan/62914733?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/187200800/retina.jpg,Tops,"['Dry clean only', 'Boho', 'Color blocked detail and Floral Print', 'Sleeveless', 'Tan']",100% Wool,Size XS ,"17"" Length",4.99,Ann Taylor
"https://www.thredup.com/product/women-viscose-banana-republic-red-pullover-sweater/62696394?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/186474659/retina.jpg,Tops,"['Turtleneck neckline', 'Chevron/Herringbone pattern and Color blocked detail', 'Long sleeve', 'Red and Burgundy']","42% Viscose, 42% Cotton, 10% Acrylic, 6% Nylon",Size XS ,"32"" Chest, 22.5"" Length",4.99,Banana Republic
"https://www.thredup.com/product/women-viscose-ann-taylor-loft-white-pullover-sweater/65121443?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/194379717/retina.jpg,Tops,"['Classic', 'Scoop neckline', 'Striped print', 'Long sleeve', 'White']","41% Viscose, 33% Nylon, 26% Wool",Size XS ,"36"" Chest, 24.5"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-gap-grey-cardigan/64952091?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193758180/retina.jpg,Tops,"['Classic', 'Solid', '3/4 Sleeve', 'Grey and Gray']","89% Cotton, 11% Nylon",Size XS ,"28"" Length",7.99,Gap
"https://www.thredup.com/product/women-pima-cotton-ann-taylor-loft-blue-pullover-sweater/64912498?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193643752/retina.jpg,Tops,"['Scoop neckline', 'Solid', 'Long sleeve', 'Blue']",100% Pima Cotton,Size XS ,"26"" Chest, 21"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-american-eagle-outfitters-black-pullover-sweater/64904246?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193599647/retina.jpg,Tops,"['Boho', 'Solid', 'Long sleeve', 'Black']","60% Cotton, 21% Polyester, 19% Viscose",Size XS ,"32"" Chest, 25"" Length",7.99,American Eagle Outfitters
"https://www.thredup.com/product/women-nylon-ann-taylor-loft-brown-cardigan/64797753?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193373626/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Brown']","52% Nylon, 48% Rayon",Size XS ,"22"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-acrylic-ann-taylor-loft-outlet-black-pullover-sweater/64784075?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193242466/retina.jpg,Tops,"['Classic', 'Striped print', 'Short sleeve', 'Black and Ivory']","52% Acrylic, 48% Polyester",Size XS ,"32"" Chest, 21"" Length",7.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-acrylic-roz-and-ali-purple-pullover-sweater/64754324?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193145058/retina.jpg,Tops,"['V-neck', 'Solid', 'Long sleeve', 'Purple']",100% Acrylic,Size XS ,"30"" Chest, 23"" Length",7.99,Roz & Ali
"https://www.thredup.com/product/women-cotton-old-navy-blue-cardigan/64683646?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/192944279/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Blue']","55% Cotton, 30% Viscose, 15% Nylon",Size XS ,"19"" Length",7.99,Old Navy
"https://www.thredup.com/product/women-merino-extra-fine-wool-banana-republic-brown-cardigan/64365663?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/175635679/retina.jpg,Tops,"['Turtleneck neckline', 'Color blocked detail', 'Long sleeve', 'Brown and Tan']","47% Merino Extra Fine Wool, 45% Nylon, 8% Cashmere",Size XS ,"17.25"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-linen-ana-blue-pullover-sweater/64297510?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/170965603/retina.jpg,Tops,"['Classic', 'Color blocked detail', 'Long sleeve', 'Blue']","56% Linen, 44% Rayon",Size XS ,"34"" Chest, 27"" Length",7.99,A.n.a
"https://www.thredup.com/product/women-merino-wool-halogen-grey-wool-cardigan/64279965?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/191657270/retina.jpg,Tops,"['Dry clean only', 'Classic', 'Striped print', 'Long sleeve', 'Grey and Gray']",100% Merino Wool,Size XS ,"27"" Length",7.99,Halogen
"https://www.thredup.com/product/women-cotton-banana-republic-red-pullover-sweater/64232626?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/191472821/retina.jpg,Tops,"['Classic', 'Solid', 'Long sleeve', 'Red']",100% Cotton,Size XS ,"30"" Chest, 21"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-black-cardigan/64230524?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/191450833/retina.jpg,Tops,"['Solid', 'Short sleeve', 'Black']","76% Rayon, 21% Nylon, 3% Spandex",Size XS ,"21"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-gap-black-pullover-sweater/64212721?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/191433716/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Black']",No Fabric Content,Size XS ,"36"" Chest, 23.5"" Length",7.99,Gap
"https://www.thredup.com/product/women-ann-taylor-loft-outlet-maroon-pullover-sweater/64056062?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177872157/retina.jpg,Tops,"['Classic', 'Long sleeve', 'Maroon and Red']",No Fabric Content,Size XS ,"36"" Chest, 24.5"" Length",7.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-cotton-14th-and-union-teal-cardigan/64016839?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/190781228/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Teal and Green']","80% Cotton, 20% Nylon",Size XS ,"26"" Length",7.99,14th & Union
"https://www.thredup.com/product/women-wool-banana-republic-grey-pullover-sweater/63975340?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/190638078/retina.jpg,Tops,"['Solid', 'Long sleeve', 'Grey and Gray']","45% Wool, 30% Nylon, 25% Rayon",Size XS ,"36"" Chest, 20"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-ivory-pullover-sweater/63867431?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/190294569/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Ivory']","53% Cotton, 21% Nylon, 19% Rayon, 7% Wool",Size XS ,"32"" Chest, 22"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-viscose-ann-taylor-tan-cardigan/63737020?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189839796/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Tan and Pink']","67% Viscose, 33% Nylon",Size XS ,"21"" Length",7.99,Ann Taylor
"https://www.thredup.com/product/women-acrylic-aeropostale-tan-pullover-sweater/63654170?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189578026/retina.jpg,Tops,"['Boho', 'Color blocked detail and Striped print', 'Long sleeve', 'Tan and Ivory']","59% Acrylic, 41% Nylon",Size XS ,"34"" Chest, 26"" Length",7.99,Aeropostale
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-pullover-sweater/63653624?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189587335/retina.jpg,Tops,"['Crew neckline', 'Solid', 'Long sleeve', 'Blue']",100% Cotton,Size XS ,"34"" Chest, 21"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-viscose-ann-taylor-black-pullover-sweater/63445987?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/188926582/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Black']","44% Viscose, 29% Nylon, 22% Polyester, 5% Cashmere",Size XS ,"32"" Chest, 22.5"" Length",7.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-black-pullover-sweater/63444733?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/188909182/retina.jpg,Tops,"['Classic', 'Striped print and Color blocked detail', '3/4 Sleeve', 'Black']",100% Cotton,Size XS ,"34"" Chest, 22"" Length",7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-banana-republic-green-cardigan/63438287?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/188880733/retina.jpg,Tops,"['Classic', 'Plunge', 'Striped print and Color blocked detail', 'Long sleeve', 'Green and Gray']","50% Cotton, 40% Modal, 10% Wool",Size XS ,"27"" Length",7.99,Banana Republic
