Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-polyester-banana-republic-purple-short-sleeve-blouse/64488836?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/192311286/retina.jpg,Tops,"['Ruched detail', 'Ruffle accents', 'Frills & ruffles', 'Mock', '3/4 Sleeve', 'Purple and Burgundy']",100% Polyester,Size XS ,"32"" Chest, 22.25"" Length",4.99,Banana Republic
"https://www.thredup.com/product/women-cotton-banana-republic-blue-short-sleeve-blouse/64050391?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/190862065/retina.jpg,Tops,"['Boat neckline', '3/4 Sleeve', 'Blue']",100% Cotton,Size XS ,"32"" Chest, 20"" Length",4.99,Banana Republic
"https://www.thredup.com/product/women-acrylic-apt-9-grey-cardigan/63715595?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/189954538/retina.jpg,Tops,"['Solid', 'Long sleeve', 'Grey and Gray']",100% Acrylic,Size XS ,"22"" Length",4.99,Apt. 9
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-outlet-green-34-sleeve-blouse/63621051?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/189485865/retina.jpg,Tops,"['Work', 'Crew neckline', 'Color blocked detail', '3/4 Sleeve', 'Green']",100% Polyester,Size XS ,"32"" Chest, 23"" Length",4.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-polyester-banana-republic-blue-34-sleeve-blouse/63328003?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/188581005/retina.jpg,Tops,"['Ruched detail', 'Work', 'V-neck', 'Floral Print', '3/4 Sleeve', 'Blue']",100% Polyester,Size XS ,"34.5"" Chest, 26.25"" Length",4.99,Banana Republic
"https://www.thredup.com/product/women-rayon-paradigma-gray-34-sleeve-blouse/63123804?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/187866289/retina.jpg,Tops,"['Boho', 'V-neck', 'Animal print', 'Long sleeve', 'Gray']",100% Rayon,Size XS ,"32.5"" Chest, 22"" Length",4.99,Paradigma
"https://www.thredup.com/product/women-cotton-lauren-by-ralph-lauren-orange-34-sleeve-blouse/64491566?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/192383122/retina.jpg,Tops,"['Cut outs', 'Boho', 'Tie neck', 'Paisley print', '3/4 Sleeve', 'Orange and Yellow']",100% Cotton,Size XS ,"35"" Chest, 22"" Length",7.99,Lauren by Ralph Lauren
"https://www.thredup.com/product/women-polyester-express-pink-long-sleeve-blouse/64385196?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/180225013/retina.jpg,Tops,"['Work', 'V-neck', 'Floral Print', 'Long sleeve', 'Pink']",100% Polyester,Size XS ,"32"" Chest, 24.5"" Length",7.99,Express
"https://www.thredup.com/product/women-merino-extra-fine-wool-banana-republic-brown-cardigan/64365663?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/175635679/retina.jpg,Tops,"['Turtleneck neckline', 'Color blocked detail', 'Long sleeve', 'Brown and Tan']","47% Merino Extra Fine Wool, 45% Nylon, 8% Cashmere",Size XS ,"17.25"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-linen-ana-blue-pullover-sweater/64297510?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/170965603/retina.jpg,Tops,"['Classic', 'Color blocked detail', 'Long sleeve', 'Blue']","56% Linen, 44% Rayon",Size XS ,"34"" Chest, 27"" Length",7.99,A.n.a
"https://www.thredup.com/product/women-cotton-banana-republic-purple-long-sleeve-button-down-shirt/64287463?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/191682662/retina.jpg,Tops,"['Embroidered detail', 'Work', 'Collared', 'Long sleeve', 'Purple and Blue']",100% Cotton,Size XS ,"32"" Chest, 25"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-merino-wool-halogen-grey-wool-cardigan/64279965?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/191657270/retina.jpg,Tops,"['Dry clean only', 'Classic', 'Striped print', 'Long sleeve', 'Grey and Gray']",100% Merino Wool,Size XS ,"27"" Length",7.99,Halogen
"https://www.thredup.com/product/women-cotton-gap-gray-long-sleeve-button-down-shirt/64251048?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/171085253/retina.jpg,Tops,"['Work', 'Collared', 'Plaid print', 'Long sleeve', 'Gray']",100% Cotton,Size XS ,Detailed measurements are not available for this item.,7.99,Gap
"https://www.thredup.com/product/women-cotton-banana-republic-red-pullover-sweater/64232626?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/191472821/retina.jpg,Tops,"['Classic', 'Solid', 'Long sleeve', 'Red']",100% Cotton,Size XS ,"30"" Chest, 21"" Length",7.99,Banana Republic
"https://www.thredup.com/product/women-gap-black-pullover-sweater/64212721?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/191433716/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Black']",No Fabric Content,Size XS ,"36"" Chest, 23.5"" Length",7.99,Gap
"https://www.thredup.com/product/women-ann-taylor-loft-outlet-maroon-pullover-sweater/64056062?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/177872157/retina.jpg,Tops,"['Classic', 'Long sleeve', 'Maroon and Red']",No Fabric Content,Size XS ,"36"" Chest, 24.5"" Length",7.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-cotton-14th-and-union-teal-cardigan/64016839?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/190781228/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Teal and Green']","80% Cotton, 20% Nylon",Size XS ,"26"" Length",7.99,14th & Union
