Link,Image_Link,Materials,Size,Measurements,Category_Type,Price,Brand
"https://www.thredup.com/product/women-wool-ann-taylor-gray-casual-dress/79722023?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238632261/retina.jpg,"66% Wool, 16% Nylon, 13% Viscose, 5% Linen",Size XXS ,"30"" Chest, 37"" Length",Dresses,$40.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-cloth-and-stone-blue-casual-dress/79744967?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238636548/retina.jpg,100% Cotton,Size XS ,"34"" Chest, 32"" Length",Dresses,$26.99,Cloth & Stone
"https://www.thredup.com/product/women-wool-ann-taylor-gray-casual-dress/79740822?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238619461/retina.jpg,"96% Wool, 4% Lycra",Size 2 ,"30"" Chest, 35"" Length",Dresses,$29.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-bcbgmaxazria-white-casual-dress/79855027?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/192577922/retina.jpg,"68% Cotton, 29% Nylon, 3% Spandex",Size XS ,"30"" Chest, 26"" Length",Dresses,$25.99,BCBGMAXAZRIA
"https://www.thredup.com/product/women-nylon-intimately-by-free-people-black-casual-dress/79787396?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/186221665/retina.jpg,"92% Nylon, 8% Spandex",Size XS ,"24"" Chest, 30.5"" Length",Dresses,$13.99,Intimately by Free People
"https://www.thredup.com/product/women-silk-petite-sophisticate-black-casual-dress/79693813?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238551626/retina.jpg,100% Silk,Size 2 ,"26"" Chest, 38"" Length",Dresses,$22.99,Petite Sophisticate
"https://www.thredup.com/product/women-rayon-banana-republic-blue-casual-dress/79594409?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238154386/retina.jpg,"89% Rayon, 9% Nylon, 2% Spandex",Size 2 ,"30"" Chest, 36"" Length",Dresses,$25.99,Banana Republic
"https://www.thredup.com/product/women-rayon-wolven-black-casual-dress/79687749?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238502951/retina.jpg,"70% Rayon, 30% Nylon",Size 2 ,"32"" Chest, 36"" Length",Dresses,$26.99,Wolven
"https://www.thredup.com/product/women-rayon-holding-horses-blue-casual-dress/79700276?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238514588/retina.jpg,"70% Rayon, 30% Lyocell",Size XXS ,"40"" Chest, 33"" Length",Dresses,$113.99,Holding Horses
"https://www.thredup.com/product/women-linen-holding-horses-purple-casual-dress/79695671?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238544880/retina.jpg,"55% Linen, 45% Viscose",Size XS ,"30"" Chest, 32"" Length",Dresses,$26.99,Holding Horses
"https://www.thredup.com/product/women-cotton-banana-republic-black-cocktail-dress/79677661?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238511658/retina.jpg,"60% Cotton, 35% Rayon, 5% Spandex",Size 2 ,"26"" Chest, 34"" Length",Dresses,$26.99,Banana Republic
"https://www.thredup.com/product/women-linen-ann-taylor-loft-ivory-romper/79698324?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238564966/retina.jpg,100% Linen,Size 0 ,"36"" Chest, 32"" Length",Dresses,$31.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-casual-dress/79679728?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238491628/retina.jpg,100% Cotton,Size 2 ,"32"" Chest, 34"" Length",Dresses,$21.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-black-casual-dress/79696533?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238585376/retina.jpg,"70% Rayon, 30% Tencel",Size XS ,"32"" Chest, 35"" Length",Dresses,$20.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-viscose-banana-republic-black-casual-dress/79720732?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238551782/retina.jpg,"67% Viscose, 28% Nylon, 5% Spandex",Size 2 ,"28"" Chest, 32"" Length",Dresses,$23.99,Banana Republic
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-black-casual-dress/79707154?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238554173/retina.jpg,100% Rayon,Size XS ,"29"" Chest, 54"" Length",Dresses,$23.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-topshop-white-casual-dress/79655737?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238337499/retina.jpg,"96% Cotton, 4% Elastane",Size 2 ,"28"" Chest, 32"" Length",Dresses,$60.99,Topshop
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-yellow-casual-dress/79800455?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/212771876/retina.jpg,"97% Rayon, 3% Spandex",Size XS ,"28"" Chest, 31"" Length",Dresses,$15.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-nylon-ann-taylor-black-casual-dress/79661954?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238412230/retina.jpg,"58% Nylon, 42% Cotton",Size 00 ,"28"" Chest, 32"" Length",Dresses,$29.99,Ann Taylor
"https://www.thredup.com/product/women-nylon-ann-taylor-tan-casual-dress/79661809?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238412489/retina.jpg,"58% Nylon, 42% Cotton",Size 00 ,"30"" Chest, 32"" Length",Dresses,$32.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-banana-republic-black-casual-dress/79681058?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238521803/retina.jpg,"60% Cotton, 35% Viscose, 5% Elastane",Size 0 ,"28"" Chest, 33"" Length",Dresses,$22.99,Banana Republic
"https://www.thredup.com/product/women-nylon-ann-taylor-loft-black-cocktail-dress/79678314?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238526224/retina.jpg,"70% Nylon, 30% Cotton",Size 00 ,"31"" Chest, 31.5"" Length",Dresses,$22.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-ramie-ann-taylor-green-casual-dress/79790353?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/216768461/retina.jpg,"55% Ramie, 45% Cotton",Size 2 ,"32"" Chest, 40"" Length",Dresses,$25.99,Ann Taylor
"https://www.thredup.com/product/women-rayon-jjill-yellow-casual-dress/79652840?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/238319810/retina.jpg,"95% Rayon, 5% Spandex",Size XS ,"30"" Chest, 45"" Length",Dresses,$54.99,J.jill
"https://www.thredup.com/product/women-linen-ann-taylor-blue-casual-dress/79785735?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/227231601/retina.jpg,"51% Linen, 49% Rayon",Size 2 ,"32"" Chest, 31.5"" Length",Dresses,$38.99,Ann Taylor
"https://www.thredup.com/product/women-wool-ann-taylor-tan-casual-dress/79777355?sizing_id=750,755,756,765,791,799,774",https://cf-assets-thredup.thredup.com/assets/224431012/retina.jpg,"98% Wool, 1% Spandex, 1% Other",Size 0 ,"27"" Chest, 36.75"" Length",Dresses,$35.99,Ann Taylor
